iso3,first_anaemia_policies_year,first_anaemia_programmes_year,first_anaemia_mechanisms_year,first_anaemia_any_file_year,first_fortification_policies_year,first_fortification_programmes_year,first_fortification_mechanisms_year,first_fortification_any_file_year,gfdx_wheat_mandate_year,gfdx_wheat_mandate_status,gfdx_maize_mandate_year,gfdx_maize_mandate_status,first_anaemia_policy_year,subregion,geo_rugged,geo_tropical,geo_dist_coast
DJI,2013.0,,,2013.0,1997.0,,,1997.0,2013.0,YES,,UNKNOWN,2013.0,ESA,2.432,0.0,0.038
ERI,2012.0,,,2012.0,2013.0,,1994.0,1994.0,,UNKNOWN,,UNKNOWN,2012.0,ESA,2.481,0.0,0.104
ETH,2005.0,1995.0,,1995.0,2001.0,1995.0,,1995.0,2022.0,YES,,NO,2005.0,ESA,1.57,29.455,0.466
GAB,2017.0,,,2017.0,2004.0,,,2004.0,,UNKNOWN,,UNKNOWN,2017.0,WCA,0.218,100.0,0.195
GHA,1995.0,1995.0,,1995.0,1992.0,1995.0,2007.0,1992.0,2010.0,YES,,UNKNOWN,1995.0,WCA,0.228,100.0,0.283
GIN,1994.0,,,1994.0,1994.0,,1998.0,1994.0,2006.0,YES,,UNKNOWN,1994.0,WCA,0.74,100.0,0.263
GMB,1999.0,,,1999.0,2006.0,,2007.0,2006.0,,,,,1999.0,WCA,0.353,89.355,0.053
GNB,2014.0,,,2014.0,2004.0,,,2004.0,,UNKNOWN,,UNKNOWN,2014.0,WCA,0.491,100.0,0.045
GNQ,,,,,,,,,,UNKNOWN,,UNKNOWN,,WCA,0.559,100.0,0.069
KEN,1979.0,2006.0,,1979.0,1979.0,2006.0,1978.0,1978.0,2012.0,YES,2012.0,YES,1979.0,ESA,0.669,51.028,0.409
LBR,2008.0,,,2008.0,2008.0,,,2008.0,2017.0,YES,,UNKNOWN,2008.0,WCA,0.263,100.0,0.096
LSO,2006.0,,,2006.0,1999.0,,1980.0,1980.0,2020.0,YES,2020.0,YES,2006.0,ESA,6.202,0.0,0.246
MDG,2004.0,,,2004.0,2012.0,,1996.0,1996.0,,UNKNOWN,,UNKNOWN,2004.0,ESA,1.169,65.224,0.087
MLI,2006.0,,,2006.0,1995.0,2004.0,,1995.0,2010.0,YES,,UNKNOWN,2006.0,WCA,0.147,11.688,1.014
MOZ,2011.0,2011.0,,2011.0,2007.0,2011.0,,2007.0,2016.0,YES,2016.0,YES,2011.0,ESA,0.612,87.365,0.21
MRT,1995.0,,,1995.0,1995.0,,,1995.0,2010.0,YES,,UNKNOWN,1995.0,WCA,0.115,0.0,0.511
MUS,2009.0,,,2009.0,1999.0,,,1999.0,2024.0,YES,,UNKNOWN,2009.0,ESA,0.949,100.0,0.006
MWI,2003.0,1995.0,,1995.0,1998.0,1995.0,,1995.0,2015.0,YES,2015.0,YES,2003.0,ESA,1.027,39.224,0.496
NAM,2011.0,,,2011.0,1994.0,,,1994.0,,NO,,NO,2011.0,ESA,0.913,0.0,0.305
NER,2006.0,,,2006.0,2008.0,2008.0,,2008.0,2010.0,YES,,NO,2006.0,WCA,0.178,0.032,1.186
NGA,2004.0,2008.0,,2004.0,1996.0,2008.0,,1996.0,2005.0,YES,2005.0,YES,2004.0,WCA,0.312,73.44,0.491
RWA,2005.0,2011.0,,2005.0,2005.0,2011.0,,2005.0,2019.0,YES,2019.0,YES,2005.0,ESA,3.309,68.88,0.946
SDN,1995.0,,,1995.0,1995.0,,2015.0,1995.0,,NO,,UNKNOWN,1995.0,ESA,0.442,20.679,0.917
SEN,1997.0,2002.0,,1997.0,1997.0,2002.0,2000.0,1997.0,2009.0,YES,,NO,1997.0,WCA,0.244,34.999,0.165
SLE,2009.0,,,2009.0,2009.0,,2007.0,2007.0,,NO,,UNKNOWN,2009.0,WCA,0.498,100.0,0.1
SOM,2010.0,,,2010.0,2011.0,,,2011.0,,UNKNOWN,,UNKNOWN,2010.0,ESA,0.65,0.0,0.126
SSD,,,,,,,,,,UNKNOWN,,UNKNOWN,,ESA,,,
STP,2012.0,,,2012.0,1996.0,,,1996.0,,UNKNOWN,,UNKNOWN,2012.0,WCA,2.347,100.0,0.004
SWZ,2008.0,,,2008.0,1997.0,,,1997.0,,,,,2008.0,ESA,3.063,2.876,0.113
SYC,2022.0,,,2022.0,,,,,,UNKNOWN,,UNKNOWN,2022.0,ESA,4.885,100.0,0.0
TCD,1997.0,,,1997.0,1995.0,,1993.0,1993.0,2021.0,YES,2021.0,YES,1997.0,WCA,0.419,13.413,1.254
TGO,2009.0,,,2009.0,1996.0,,,1996.0,2012.0,YES,,UNKNOWN,2009.0,WCA,0.28,100.0,0.263
TZA,2008.0,2011.0,,2008.0,1994.0,2011.0,2003.0,1994.0,,,,,2008.0,ESA,0.677,88.294,0.42
UGA,2003.0,1997.0,,1997.0,1997.0,1997.0,,1997.0,2005.0,YES,2011.0,YES,2003.0,ESA,0.913,97.783,0.909
