iso3,country,anaemia_2023,gdp_pc_2023,resid_income_recent,n_years_recent,resid_context_recent,n_years_context,resid_income_full,anaemia_mean_recent_all,country_effect_fe,feat_gd_stock_anaemia_policies_mean_recent,feat_gd_logstock_anaemia_policies_mean_recent,feat_gifna_anemia_programming_intensity_mean_recent,feat_gd_stock_anaemia_mean_recent,feat_gd_logstock_anaemia_mean_recent,feat_gd_any_anaemia_policies_mean_recent,feat_gd_any_fortification_mean_recent,feat_gifna_policy_count_active_mean_recent,rank_income,rank_context,rank_level_recent,first_anaemia_policy_year,gfdx_wheat_mandate_year,gfdx_wheat_mandate_status,subregion
STP,Sao Tome and Principe,39.7,1380.60169416257,2.0336376474236,9.0,-3.0244546403310943,9.0,3.6256563242392716,39.611111111111114,3.471655156240545,1.2222222222222223,0.7832505379173152,3.2222222222222223,1.8888888888888888,0.9620769726322153,1.0,1.0,11.0,25.0,11.0,25.0,2012.0,,UNKNOWN,WCA
RWA,Rwanda,16.1,993.911004643524,-23.632271771315374,9.0,-3.0034229796370244,9.0,-24.539927904106786,14.822222222222223,-21.11271437316801,7.222222222222222,2.1056155496034763,11.11111111111111,7.333333333333333,2.118702553565297,1.0,1.0,22.88888888888889,1.0,12.0,1.0,2005.0,2019.0,YES,ESA
CAF,Central African Republic,43.4,397.467795750451,3.1659951433245053,9.0,-2.75505763214225,9.0,4.367217949705269,42.922222222222224,8.361070940126025,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.333333333333334,28.0,13.0,32.0,,,UNKNOWN,WCA
ZWE,Zimbabwe,27.5,1418.47184628799,-12.132093294322832,9.0,-2.421309826279862,9.0,-11.54166560261733,25.466666666666665,-11.399809472117717,2.6666666666666665,1.2629714394213498,7.666666666666667,3.5555555555555554,1.405297422250468,1.0,1.0,13.444444444444445,5.0,14.0,5.5,2014.0,2016.0,YES,ESA
BWA,Botswana,30.9,7269.05170664457,-6.062125975022299,9.0,-2.3872796853760936,9.0,-7.462640713876833,28.799999999999997,-13.128170283030688,1.4444444444444444,0.873353895274685,4.111111111111111,2.111111111111111,1.027386602065784,1.0,1.0,8.666666666666666,17.0,15.0,13.0,1996.0,,UNKNOWN,ESA
DJI,Djibouti,31.8,3117.8155381531,-6.714311442616499,9.0,-1.2134034485189018,9.0,-7.034259656251228,29.700000000000003,-9.451193960705034,2.6666666666666665,1.2629714394213498,8.0,3.111111111111111,1.376488244702681,1.0,1.0,9.0,13.0,16.0,16.0,2013.0,2013.0,YES,ESA
GMB,Gambia,46.1,735.612384062616,9.41790437655823,9.0,-1.1772849333819788,9.0,13.125999928192515,48.25555555555556,15.481617976328897,2.5555555555555554,1.197661809987781,11.666666666666666,2.7777777777777777,1.2877651673451507,1.0,1.0,9.444444444444445,41.0,17.0,44.0,1999.0,,,WCA
SOM,Somalia,46.2,464.72106952561,5.158057645036422,9.0,-0.8280007148142801,9.0,2.164138799987777,44.58888888888889,7.389201552023197,1.6666666666666667,0.9184055739533701,4.111111111111111,2.7777777777777777,1.1665824874541582,1.0,1.0,4.333333333333333,30.0,18.0,36.5,2010.0,,UNKNOWN,ESA
SLE,Sierra Leone,44.6,1113.86837500697,6.123125607435288,9.0,-0.5505573899190368,9.0,7.736379128708663,44.21111111111111,8.979149091543428,5.444444444444445,1.8540106876031262,15.444444444444445,6.111111111111111,1.933271786256178,1.0,1.0,16.444444444444443,32.0,19.0,34.0,2009.0,,NO,WCA
UGA,Uganda,27.2,955.745797275462,-12.845500510560568,9.0,-0.34105565612027966,9.0,-13.050107002026193,25.466666666666665,-10.4089338969433,9.222222222222221,2.314957154628845,15.555555555555555,10.444444444444445,2.429701719486464,1.0,1.0,30.555555555555557,4.0,20.0,5.5,2003.0,2005.0,YES,ESA
NER,Niger,47.1,561.960694711722,6.136980073540219,9.0,-0.30048617715653275,9.0,5.523674695397628,45.400000000000006,9.779361619069766,3.888888888888889,1.580108407341382,8.444444444444445,4.777777777777778,1.7107276662085198,1.0,1.0,11.88888888888889,33.0,21.0,40.0,2006.0,2010.0,YES,WCA
GNB,Guinea-Bissau,45.7,769.504652461795,6.420988140633936,9.0,0.8032706624240041,9.0,7.275931614375473,45.166666666666664,9.800643433907979,2.0,1.0986122886681098,5.555555555555555,2.2222222222222223,1.1625416381018387,1.0,1.0,7.111111111111111,34.0,22.0,38.5,2014.0,,UNKNOWN,WCA
