iso3,out_anaemia_wra_fs_pct_first,out_anaemia_wra_fs_pct_last,out_anaemia_wra_fs_pct_flag,out_anaemia_wra_fs_pct_pct,out_anaemia_wra_fs_pct_score,out_anaemia_pregnant_pct_first,out_anaemia_pregnant_pct_last,out_anaemia_pregnant_pct_flag,out_anaemia_pregnant_pct_pct,out_anaemia_pregnant_pct_score,out_women_underweight_pct_first,out_women_underweight_pct_last,out_women_underweight_pct_flag,out_women_underweight_pct_pct,out_women_underweight_pct_score,out_women_overweight_pct_first,out_women_overweight_pct_last,out_women_overweight_pct_flag,out_women_overweight_pct_pct,out_women_overweight_pct_score,country,concern_equal_weights,rank_equal_weights,rank_median_random_weights,rank_p90_random_weights,share_top10_random_weights
COG,56.7,46.7,1.0,0.8571428571428571,1.8571428571428572,57.3,46.8,1.0,0.6326530612244898,1.6326530612244898,14.5,11.4,0.0,0.7346938775510204,0.7346938775510204,22.5,31.9,2.0,0.32653061224489793,2.326530612244898,Congo,1.6377551020408165,16.0,15.0,18.100000000000023,0.0
CAF,50.5,43.4,0.0,0.673469387755102,0.673469387755102,52.1,48.4,0.0,0.6530612244897959,0.6530612244897959,18.4,20.2,2.0,0.9591836734693877,2.9591836734693877,12.6,26.1,2.0,0.16326530612244897,2.163265306122449,Central African Republic,1.6122448979591837,17.0,18.0,31.0,0.376
SLE,53.8,44.6,1.0,0.7346938775510204,1.7346938775510203,56.3,53.7,1.0,0.8367346938775511,1.836734693877551,14.0,6.9,0.0,0.3673469387755102,0.3673469387755102,18.6,31.1,2.0,0.30612244897959184,2.306122448979592,Sierra Leone,1.5612244897959182,18.0,18.0,25.0,0.002
SDN,37.2,34.0,0.0,0.32653061224489793,0.32653061224489793,39.4,38.0,0.0,0.30612244897959184,0.30612244897959184,14.8,15.4,2.0,0.8163265306122449,2.816326530612245,27.3,42.0,2.0,0.5918367346938775,2.5918367346938775,Sudan,1.510204081632653,19.5,20.0,34.0,0.33
COD,54.1,40.0,1.0,0.5510204081632653,1.5510204081632653,50.7,45.1,0.0,0.5510204081632653,0.5510204081632653,19.0,11.8,1.0,0.7551020408163265,1.7551020408163265,11.1,26.4,2.0,0.1836734693877551,2.183673469387755,Democratic Republic of the Congo,1.510204081632653,19.5,19.0,29.0,0.052
MUS,18.4,32.8,2.0,0.30612244897959184,2.306122448979592,34.4,32.4,0.0,0.1836734693877551,0.1836734693877551,8.6,6.0,0.0,0.30612244897959184,0.30612244897959184,47.5,57.2,2.0,0.8979591836734694,2.8979591836734695,Mauritius,1.4234693877551021,21.0,19.0,33.10000000000002,0.178
AGO,52.9,43.8,1.0,0.6938775510204082,1.693877551020408,52.3,45.9,0.0,0.5918367346938775,0.5918367346938775,12.0,9.1,0.0,0.5714285714285714,0.5714285714285714,23.7,38.7,2.0,0.5510204081632653,2.5510204081632653,Angola,1.3520408163265305,22.0,22.0,26.0,0.002
GIN,51.4,45.7,0.0,0.7653061224489796,0.7653061224489796,60.8,50.2,1.0,0.7142857142857143,1.7142857142857144,13.7,8.8,0.0,0.5204081632653061,0.5204081632653061,14.1,32.3,2.0,0.3469387755102041,2.3469387755102042,Guinea,1.336734693877551,23.0,23.0,28.0,0.0
SYC,24.8,25.8,2.0,0.08163265306122448,2.0816326530612246,32.5,27.2,0.0,0.061224489795918366,0.061224489795918366,5.8,2.5,0.0,0.04081632653061224,0.04081632653061224,55.0,71.9,2.0,1.0,3.0,Seychelles,1.2959183673469388,24.0,24.0,42.0,0.12
LBR,52.8,42.5,0.0,0.6326530612244898,0.6326530612244898,56.3,49.2,1.0,0.673469387755102,1.6734693877551021,10.5,5.4,0.0,0.14285714285714285,0.14285714285714285,20.3,44.1,2.0,0.6938775510204082,2.693877551020408,Liberia,1.2857142857142856,25.0,24.0,34.0,0.016
SSD,35.0,35.0,0.0,0.3673469387755102,0.3673469387755102,43.3,42.2,0.0,0.42857142857142855,0.42857142857142855,19.6,18.9,1.0,0.9183673469387755,1.9183673469387754,15.1,29.2,2.0,0.23469387755102042,2.2346938775510203,South Sudan,1.2372448979591837,26.0,25.0,40.0,0.018
ERI,37.3,35.6,0.0,0.3877551020408163,0.3877551020408163,44.2,41.5,0.0,0.40816326530612246,0.40816326530612246,37.4,34.3,1.0,1.0,2.0,6.3,18.4,2.0,0.10204081632653061,2.1020408163265305,Eritrea,1.2244897959183674,27.0,26.0,44.0,0.058
GNB,52.8,45.7,0.0,0.7653061224489796,0.7653061224489796,56.1,51.1,0.0,0.7551020408163265,0.7551020408163265,12.6,8.8,0.0,0.5204081632653061,0.5204081632653061,17.7,35.7,2.0,0.42857142857142855,2.4285714285714284,Guinea-Bissau,1.1173469387755102,28.0,28.0,34.0,0.0
TGO,47.8,41.5,0.0,0.6122448979591837,0.6122448979591837,55.8,52.6,0.0,0.7959183673469388,0.7959183673469388,11.4,7.7,0.0,0.4489795918367347,0.4489795918367347,16.0,37.8,2.0,0.5306122448979592,2.5306122448979593,Togo,1.0969387755102042,29.0,29.0,32.0,0.0
TZA,43.0,38.8,0.0,0.46938775510204084,0.46938775510204084,53.4,46.6,0.0,0.6122448979591837,0.6122448979591837,10.8,8.8,0.0,0.5204081632653061,0.5204081632653061,17.4,38.8,2.0,0.5714285714285714,2.571428571428571,United Republic of Tanzania,1.0433673469387754,30.0,31.0,33.0,0.0
STP,49.4,39.7,0.0,0.5306122448979592,0.5306122448979592,51.0,42.9,0.0,0.45918367346938777,0.45918367346938777,9.6,6.8,0.0,0.3469387755102041,0.3469387755102041,24.8,49.8,2.0,0.7755102040816326,2.7755102040816326,Sao Tome and Principe,1.028061224489796,31.0,32.0,34.10000000000002,0.0
ETH,26.7,23.1,0.0,0.04081632653061224,0.04081632653061224,32.9,26.2,0.0,0.04081632653061224,0.04081632653061224,25.7,21.0,1.0,0.9795918367346939,1.9795918367346939,5.1,13.7,2.0,0.04081632653061224,2.0408163265306123,Ethiopia,1.0255102040816326,32.5,36.0,48.0,0.002
NGA,50.3,37.9,0.0,0.4489795918367347,0.4489795918367347,55.2,45.0,0.0,0.5306122448979592,0.5306122448979592,12.5,9.6,0.0,0.6326530612244898,0.6326530612244898,22.3,37.3,2.0,0.4897959183673469,2.489795918367347,Nigeria,1.0255102040816326,32.5,31.0,37.0,0.0
CPV,50.1,40.6,0.0,0.5714285714285714,0.5714285714285714,51.2,43.9,0.0,0.4897959183673469,0.4897959183673469,7.6,5.5,0.0,0.16326530612244897,0.16326530612244897,27.8,54.5,2.0,0.8367346938775511,2.836734693877551,Cabo Verde,1.0153061224489794,34.0,32.0,40.0,0.002
GNQ,50.3,41.3,0.0,0.5918367346938775,0.5918367346938775,51.8,42.9,0.0,0.45918367346938777,0.45918367346938777,5.0,3.0,0.0,0.08163265306122448,0.08163265306122448,36.6,56.9,2.0,0.8775510204081632,2.877551020408163,Equatorial Guinea,1.0025510204081631,35.0,34.0,43.0,0.01
GHA,47.1,36.0,0.0,0.40816326530612246,0.40816326530612246,54.1,45.3,0.0,0.5714285714285714,0.5714285714285714,10.1,5.6,0.0,0.19387755102040816,0.19387755102040816,24.9,47.9,2.0,0.7551020408163265,2.7551020408163263,Ghana,0.9821428571428571,36.0,35.0,41.0,0.0
CMR,45.9,38.9,0.0,0.4897959183673469,0.4897959183673469,49.0,41.0,0.0,0.3877551020408163,0.3877551020408163,8.5,5.9,0.0,0.2755102040816326,0.2755102040816326,27.6,44.6,2.0,0.7244897959183674,2.7244897959183674,Cameroon,0.9693877551020408,37.0,36.0,39.0,0.0
KEN,34.4,32.2,0.0,0.2653061224489796,0.2653061224489796,45.8,39.8,0.0,0.3673469387755102,0.3673469387755102,11.2,8.2,0.0,0.46938775510204084,0.46938775510204084,20.0,43.0,2.0,0.6530612244897959,2.6530612244897958,Kenya,0.9387755102040816,38.0,37.0,39.0,0.0
DJI,32.2,31.8,0.0,0.24489795918367346,0.24489795918367346,40.4,37.2,0.0,0.2857142857142857,0.2857142857142857,13.4,11.3,0.0,0.7142857142857143,0.7142857142857143,18.9,37.2,2.0,0.46938775510204084,2.4693877551020407,Djibouti,0.9285714285714285,39.0,38.0,42.0,0.0
BWA,32.8,30.9,0.0,0.20408163265306123,0.20408163265306123,34.7,31.4,0.0,0.16326530612244897,0.16326530612244897,12.7,8.8,0.0,0.5204081632653061,0.5204081632653061,34.2,53.5,2.0,0.7959183673469388,2.795918367346939,Botswana,0.9209183673469388,40.0,38.0,41.0,0.0
COM,32.5,29.9,0.0,0.1836734693877551,0.1836734693877551,41.1,35.5,0.0,0.22448979591836735,0.22448979591836735,8.6,5.6,0.0,0.19387755102040816,0.19387755102040816,27.6,53.7,2.0,0.8163265306122449,2.816326530612245,Comoros,0.8545918367346939,41.5,42.0,45.0,0.0
NAM,26.3,24.9,0.0,0.061224489795918366,0.061224489795918366,31.1,28.3,0.0,0.08163265306122448,0.08163265306122448,14.5,10.8,0.0,0.6632653061224489,0.6632653061224489,29.3,42.7,2.0,0.6122448979591837,2.612244897959184,Namibia,0.8545918367346939,41.5,42.0,47.0,0.0
ZAF,33.0,31.2,0.0,0.22448979591836735,0.22448979591836735,33.3,29.3,0.0,0.10204081632653061,0.10204081632653061,4.8,2.4,0.0,0.02040816326530612,0.02040816326530612,57.3,71.3,2.0,0.9795918367346939,2.979591836734694,South Africa,0.8316326530612246,43.0,44.0,49.0,0.018
SWZ,30.0,28.3,0.0,0.16326530612244897,0.16326530612244897,33.0,30.1,0.0,0.1326530612244898,0.1326530612244898,3.5,2.9,0.0,0.061224489795918366,0.061224489795918366,45.5,70.6,2.0,0.9591836734693877,2.9591836734693877,Eswatini,0.8290816326530612,44.0,44.0,48.0,0.014
UGA,33.5,27.2,0.0,0.12244897959183673,0.12244897959183673,43.1,35.0,0.0,0.20408163265306123,0.20408163265306123,11.1,10.8,0.0,0.6632653061224489,0.6632653061224489,13.8,29.3,2.0,0.2653061224489796,2.2653061224489797,Uganda,0.8137755102040817,45.0,44.0,47.0,0.0
ZMB,36.2,27.1,0.0,0.10204081632653061,0.10204081632653061,45.3,36.7,0.0,0.2653061224489796,0.2653061224489796,10.8,7.6,0.0,0.42857142857142855,0.42857142857142855,17.1,35.6,2.0,0.40816326530612246,2.4081632653061225,Zambia,0.8010204081632653,46.0,44.0,46.0,0.0
MWI,33.7,32.4,0.0,0.2857142857142857,0.2857142857142857,41.9,38.6,0.0,0.32653061224489793,0.32653061224489793,9.4,5.9,0.0,0.2755102040816326,0.2755102040816326,13.7,29.2,2.0,0.23469387755102042,2.2346938775510203,Malawi,0.7806122448979591,47.0,45.0,48.0,0.0
ZWE,32.5,27.5,0.0,0.14285714285714285,0.14285714285714285,35.2,30.1,0.0,0.1326530612244898,0.1326530612244898,6.3,5.1,0.0,0.12244897959183673,0.12244897959183673,29.5,43.7,2.0,0.673469387755102,2.673469387755102,Zimbabwe,0.7678571428571429,48.0,47.0,48.0,0.0
RWA,21.1,16.1,0.0,0.02040816326530612,0.02040816326530612,29.8,23.9,0.0,0.02040816326530612,0.02040816326530612,8.4,6.5,0.0,0.32653061224489793,0.32653061224489793,12.8,27.8,2.0,0.20408163265306123,2.204081632653061,Rwanda,0.6428571428571428,49.0,49.0,49.0,0.0
