spec,outcome,term,coef,se,ci_low,ci_high,p,n_obs,n_countries,years,r2_within
ctx_sanitation,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.22231361346614287,0.1907141758250972,-0.5966043512592564,0.15197712432697064,0.2440452309893435,982,49,2003-2023,0.018503126061787167
ctx_sanitation,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.7297491511457266,2.0023469973979418,-2.2000055811990062,5.659503883490459,0.3878919767989666,982,49,2003-2023,0.018503126061787167
ctx_sanitation,out_anaemia_wra_fs_pct,feat_sanitation_basic_pct,0.02346083874549793,0.07238877926001334,-0.11860751815536183,0.16552919564635768,0.7459406158355821,982,49,2003-2023,0.018503126061787167
team_unemployment,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.17080228621909482,0.22484381503032208,-0.6120808467067038,0.27047627426851417,0.4476633752339714,972,48,2003-2023,0.028193783877212497
team_unemployment,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.9816396874678752,1.8769768020825897,-1.7021157281744979,5.6653951031102485,0.2913602335000425,972,48,2003-2023,0.028193783877212497
team_unemployment,out_anaemia_wra_fs_pct,feat_unemployment_pct,0.14288653480074223,0.11298100623488765,-0.07885003281197722,0.3646231024134617,0.20630763855983547,972,48,2003-2023,0.028193783877212497
team_employment,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.17294895574663596,0.22828468361062518,-0.6209805662736175,0.27508265478034555,0.44888731099406587,972,48,2003-2023,0.016926866380095218
team_employment,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.918316606898418,1.8469546463343178,-1.7065173139741496,5.543150527770986,0.29925193988140975,972,48,2003-2023,0.016926866380095218
team_employment,out_anaemia_wra_fs_pct,feat_employment_pop_pct,-0.004009471292004658,0.0931313791326928,-0.18678915288724074,0.17877021030323142,0.9656697993083911,972,48,2003-2023,0.016926866380095218
impl_sth,out_anaemia_wra_fs_pct,feat_sth_pc_coverage_sac_pct_lag3,0.0010105868949777442,0.003907948368539482,-0.006662528598075517,0.008683702388031006,0.7960239407562213,744,46,2006-2023,0.0035782452351332816
impl_sth,out_anaemia_wra_fs_pct,log_gdp_pc_constant,0.9238700204231587,1.828254859470791,-2.6658423719895588,4.513582412835876,0.6134918306717032,744,46,2006-2023,0.0035782452351332816
impl_sth_with_policy,out_anaemia_wra_fs_pct,feat_sth_pc_coverage_sac_pct_lag3,0.0009987546326170817,0.0038879715265947436,-0.006635157158046811,0.008632666423280973,0.7973468606688192,744,46,2006-2023,0.0036291308645750586
impl_sth_with_policy,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,0.012150803567142453,0.17644575627720632,-0.33429497928994284,0.3585965864242277,0.9451179846130728,744,46,2006-2023,0.0036291308645750586
impl_sth_with_policy,out_anaemia_wra_fs_pct,log_gdp_pc_constant,0.8925678053753363,1.8519342108212395,-2.743647714933357,4.52878332568403,0.6299862212570431,744,46,2006-2023,0.0036291308645750586
alt_logstock_anaemia_policies,out_anaemia_wra_fs_pct,feat_gd_logstock_anaemia_policies_lag3,-0.5657275933732735,0.5406096700081792,-1.626694330404287,0.4952391436577399,0.295621641215559,994,49,2003-2023,0.02024328378276341
alt_logstock_anaemia_policies,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.9812985148683775,1.6883039119895429,-1.3320611825139133,5.294658212250669,0.24088055489317783,994,49,2003-2023,0.02024328378276341
alt_team_anemia_programming_intensity,out_anaemia_wra_fs_pct,feat_gifna_anemia_programming_intensity_lag3,-0.17676692339101893,0.11878918629070874,-0.4098951531755799,0.056361306393542004,0.13707332360564517,994,49,2003-2023,0.042764651929761865
alt_team_anemia_programming_intensity,out_anaemia_wra_fs_pct,log_gdp_pc_constant,2.185418949653054,1.6957026636794759,-1.1424610751929545,5.513298974499062,0.19779109356080715,994,49,2003-2023,0.042764651929761865
alt_team_anemia_programming_intensity_trend,out_anaemia_wra_fs_pct,feat_gifna_anemia_programming_intensity_lag3,0.04217536642485599,0.030549281458070482,-0.017700124986539424,0.1020508578362514,0.1674117674740988,994,49,2003-2023,0.010848145604485326
alt_team_anemia_programming_intensity_trend,out_anaemia_wra_fs_pct,log_gdp_pc_constant,-0.2593846773894497,0.999413536922089,-2.2181992154185357,1.6994298606396363,0.795221025680257,994,49,2003-2023,0.010848145604485326
alt_stock_anaemia,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_lag3,-0.08347574104407258,0.11893935499057239,-0.3168986825297692,0.14994720044162402,0.482959318279617,994,49,2003-2023,0.014415169066254174
alt_stock_anaemia,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.7945323787008782,1.6628439977424838,-1.468861282847494,5.05792604024925,0.28078288594496126,994,49,2003-2023,0.014415169066254174
