exposure,lag,income,controls,estimator,coef_per_within_sd,ci_low,ci_high,p,n_obs,sd_within,spec_id,excludes_zero
feat_gd_logstock_anaemia_policies,3,current,context,fe,-0.08918800111345551,-0.5456804084878252,0.3673044062609141,0.7017706395464346,941,0.5666089521871309,68,False
feat_gifna_anemia_programming_intensity,2,current,context,fe,-0.08833710379410693,-0.5723029728526964,0.39562876526448243,0.7205323410326985,986,3.454351268435313,69,False
feat_gd_stock_anaemia_policies,3,constant,context,fe,-0.0882494954680588,-0.6259547382269304,0.44945574729081267,0.74769962532369,931,1.6975000168815195,70,False
feat_gd_stock_anaemia_policies,2,current,context,fe_trend,-0.07917439663227134,-0.2587020767819257,0.10035328351738304,0.3873827557245355,986,1.7165552910915076,71,False
feat_gifna_anemia_programming_intensity,3,constant,context,fe,-0.07740822253613094,-0.5970348682347998,0.4422184231625379,0.7703067121327469,931,3.4329069367611673,72,False
feat_gd_logstock_anaemia,2,constant,context,fe,-0.07372162391207804,-0.4288868223743385,0.28144357455018243,0.6841331199289791,975,0.6198526032980027,73,False
feat_gd_stock_anaemia_policies,2,constant,context,fe_trend,-0.07276873795804241,-0.2518367285446734,0.1062992526285886,0.4257529903828158,975,1.719666302918047,74,False
feat_gd_logstock_anaemia,2,constant,none,fe_trend,-0.07273548164495496,-0.23309229090367437,0.08762132761376445,0.37399731196384167,1041,0.6205384782762062,75,False
feat_gd_logstock_anaemia,2,current,none,fe_trend,-0.06903026572530542,-0.22518700793329552,0.08712647648268468,0.38626159992670395,1052,0.6220557226102832,76,False
feat_gd_logstock_anaemia_policies,5,current,none,fe_trend,-0.06794024177856893,-0.21928222571165532,0.08340174215451746,0.3789327611517205,908,0.5412888087109649,77,False
feat_gd_stock_anaemia,5,current,none,fe,-0.06492612015741869,-0.580022263192228,0.4501700228773906,0.804872000144919,908,2.399636329049192,78,False
feat_gifna_anemia_programming_intensity,5,current,none,ldv,-0.06486559334559483,-0.12725173818046415,-0.0024794485107254884,0.041563939593845724,908,3.2109813360822654,79,True
feat_gd_logstock_anaemia,3,current,context,fe_trend,-0.06461840689574401,-0.2345195462904983,0.10528273249901027,0.45601059029028457,941,0.6254075610938832,80,False
feat_gifna_anemia_programming_intensity,5,constant,none,ldv,-0.06444357251220954,-0.1267429512769891,-0.0021441937474299924,0.04261935582237859,900,3.2171405308352288,81,True
feat_gifna_anemia_programming_intensity,3,current,none,ldv,-0.059318830446405166,-0.11878528836476825,0.00014762747195791175,0.0505714679042785,1004,3.3271699178555627,82,False
feat_gd_logstock_anaemia_policies,5,constant,none,fe_trend,-0.05902423067061088,-0.214020474745372,0.09597201340415025,0.45544074288589764,900,0.5421397077847278,83,False
feat_gifna_anemia_programming_intensity,3,constant,none,ldv,-0.05850298271387197,-0.11766811346323934,0.0006621480354954125,0.052619684719892694,994,3.328828211603318,84,False
feat_gd_stock_anaemia_policies,3,current,context,fe,-0.05799532290286351,-0.5705496981469427,0.45455905234121563,0.824493602224328,941,1.6933626911112152,85,False
feat_gd_stock_anaemia_policies,2,constant,none,fe_trend,-0.05765754124300954,-0.23924044482013415,0.12392536233411504,0.5337168760027649,1041,1.6774027751050342,86,False
