iso3,year,malaria_incidence_per1000,fertility_rate,urban_pct,employment_pop_pct,hiv_prev_pct,health_exp_pc_usd,sanitation_basic_pct,open_defecation_pct
BDI,2016,321.3,5.587,15.6180905635494,78.843,1.2,18.59472847,44.7585847024572,2.16459551879648
BDI,2017,346.29,5.481,16.6241273909209,79.093,1.2,19.16676521,44.6289841238283,2.13656167140058
BDI,2018,350.82,5.38,17.6820221982475,79.126,1.1,18.67819214,44.4954380894811,2.10804369184408
BDI,2019,345.28,5.271,18.786178154187,78.909,1.1,22.2435379,44.3577388229315,2.07902898585401
BDI,2020,345.14,5.177,19.9309984273971,77.737,1.0,26.21934319,44.4548070620661,2.04950448536706
BDI,2021,349.97,5.078,21.1108861865354,78.21,0.9,23.11420059,44.5545225988873,2.01945730486357
BDI,2022,342.31,4.98,22.3202446002597,78.385,0.9,25.52155113,44.6569603684061,1.98885468666442
BDI,2023,323.25,4.878,23.5534768372276,78.082,0.8,28.14028931,44.6456125902738,1.98151639725707
BDI,2024,314.9,4.789,24.8302838651025,77.774,0.8,,44.6339890793582,1.97399824743581
BDI,2025,,,25.6870184681663,77.533,,,,
BEN,2000,416.0,5.937,38.2759517258875,71.212,1.5,14.42371464,8.52812393636387,68.1506638293869
BEN,2001,434.27,5.848,38.6186257669218,71.242,1.4,16.26979828,8.93975126867492,67.2959687722487
BEN,2002,453.46,5.793,39.0035069872981,71.255,1.4,16.9179287,9.37391256843619,66.4111005510139
BEN,2003,473.3,5.763,39.4169696013044,71.228,1.4,21.06955719,9.83877331929082,65.4753711034459
BEN,2004,495.55,5.718,39.8525699078742,71.212,1.3,24.52665329,10.3155921363995,64.5444404332292
BEN,2005,510.17,5.692,40.3097749006517,71.176,1.3,25.12485313,10.8039533008181,63.6193153594447
BEN,2006,508.93,5.673,40.7877794072449,71.17,1.2,26.60264206,11.3039620341641,62.6995423321105
BEN,2007,496.75,5.627,41.2857782552618,71.174,1.2,26.79680061,11.8157291558234,61.7847011189109
BEN,2008,473.51,5.548,41.8029662723105,71.194,1.1,28.12486076,12.3390077692944,60.8753020062063
BEN,2009,448.56,5.491,42.338538285999,71.169,1.1,29.69425583,12.8733600744969,59.972284926821
BEN,2010,417.07,5.452,42.8916891239353,71.118,1.1,29.37720871,13.4190757934874,59.0747609223836
BEN,2011,382.99,5.436,43.4616136137276,69.977,1.1,31.76816368,13.9760843860142,58.1827665815885
BEN,2012,365.18,5.429,44.0475065829838,70.518,1.1,32.95616913,14.5443123134086,57.2963419345572
BEN,2013,362.14,5.41,44.6502883669319,71.109,1.1,33.53426743,15.1233051054282,56.4163710275969
BEN,2014,369.11,5.374,45.2880529235999,71.687,1.0,32.41182327,15.7143302277075,55.5399198644977
BEN,2015,390.76,5.32,45.9407403257663,72.132,1.0,27.34733391,16.3169481534553,54.6679438000785
BEN,2016,415.92,5.254,46.6094559006664,72.563,1.0,36.58565903,16.9310972411709,53.8005439406105
BEN,2017,415.74,5.155,47.2942774880391,73.058,0.9,38.75862122,17.5567124078682,52.9378019837309
BEN,2018,407.71,5.031,47.9952829275963,73.642,0.9,39.54786301,18.1937303852969,52.0798194224024
BEN,2019,399.91,4.9,48.7125500590248,74.183,0.9,33.9457283,18.8420840944928,51.2266898882158
BEN,2020,377.01,4.795,49.4461567219896,73.645,0.8,36.62052536,19.501704357901,50.3785055613926
BEN,2021,378.2,4.707,50.1961807561354,74.681,0.8,38.45053101,20.1721169387367,49.5361125244112
BEN,2022,376.6,4.634,50.9627000010887,74.995,0.7,37.76291275,20.853650768615,48.698826375691
BEN,2023,361.26,4.556,51.7457922964593,75.023,0.7,46.52822113,21.5460291941212,47.8671049386307
BEN,2024,354.25,4.48,52.5455354818423,75.022,0.7,,22.248968702791,47.0413783927768
BEN,2025,,,53.3620073968188,75.143,,,,
BFA,2000,597.17,6.519,18.0003503329444,79.869,1.9,10.00902748,8.8416258208353,74.1190715862175
BFA,2001,597.54,6.431,18.8591452143893,79.609,1.8,10.27519512,9.13087025476494,73.5732882497352
BFA,2002,592.47,6.339,19.725053583448,79.303,1.6,11.93992615,10.0598427351821,71.3611018918678
BFA,2003,582.14,6.28,20.563327262892,79.156,1.5,16.02656555,11.0080883489168,69.1595270893122
BFA,2004,559.01,6.216,21.3392180754924,78.372,1.4,21.12279129,11.9759949734472,66.9674375558958
BFA,2005,528.52,6.182,22.0179778440204,77.734,1.3,21.34285545,12.9610876994314,64.7889100598546
BFA,2006,511.16,6.17,22.5528306908743,77.783,1.2,23.55202866,13.9636797865369,62.6228813559564
BFA,2007,519.27,6.11,22.9741760828193,77.861,1.2,29.72483063,14.9188541884319,60.5836323073411
BFA,2008,549.65,6.05,23.3633747838557,77.477,1.1,30.76880074,15.8385590424802,58.6462615997806
BFA,2009,568.59,5.992,23.7452325601116,77.075,1.1,31.26260567,16.7713190117343,56.7235724095005
BFA,2010,568.37,5.936,24.115092498158,76.847,1.0,33.05819321,17.717348101652,54.8146816894044
BFA,2011,554.68,5.869,24.4682976845657,76.538,1.0,33.70409393,18.6760821491649,52.9200728998326
BFA,2012,533.39,5.793,24.8001912059054,76.292,0.9,33.66717529,19.6465931645733,51.0408173353595
BFA,2013,487.14,5.697,25.106116148748,75.898,0.9,42.26796341,20.6283173579476,49.1773374485234
BFA,2014,446.14,5.595,25.3814155996643,75.506,0.8,38.24516678,21.6210077487698,47.3295159702035
BFA,2015,417.95,5.478,25.621432645225,75.102,0.8,32.3375206,22.623723352134,45.4983612906875
BFA,2016,373.17,5.331,25.821510372001,74.767,0.8,39.50990677,23.6358671659231,43.6843034641868
BFA,2017,356.56,5.17,25.9769918665632,74.479,0.7,43.37775803,24.6558918981723,41.8892701321051
BFA,2018,356.23,4.921,26.0832202154822,74.215,0.7,38.48573303,25.6835548762607,40.1130417352632
BFA,2019,356.49,4.681,26.1187254401157,74.13,0.7,41.06895828,26.7185691114763,38.3554784716963
BFA,2020,378.17,4.44,26.3578373628627,71.738,0.6,57.17589188,27.7597483878875,36.6178462400332
BFA,2021,378.58,4.361,26.8114307743017,70.646,0.6,63.59171295,28.8068022658045,34.8999842232582
BFA,2022,356.27,4.275,27.2791369742712,69.567,0.6,64.38339996,29.8585926182987,33.2030338080238
BFA,2023,353.49,4.186,27.7872478365158,68.631,0.5,71.73455048,30.9150753845811,31.526422565127
BFA,2024,353.49,4.11,28.3352514896662,67.651,0.5,,31.7963485938203,29.8715935336527
BFA,2025,,,28.9226360719085,67.57,,,,
BWA,2000,17.23,3.294,53.2047727398794,49.294,25.9,206.93144226,53.7395555164228,21.9291842880615
BWA,2001,6.79,3.248,54.0489894446035,47.914,25.7,203.01203918,54.7451404334018,21.0436535831811
BWA,2002,3.17,3.175,55.0142988603802,46.451,25.3,206.11392212,55.6040876882088,20.3018351501278
BWA,2003,1.58,3.106,56.0979233496432,45.107,24.9,269.58544922,56.4322629301627,19.5883986996083
BWA,2004,1.02,3.063,57.2582489329358,46.497,24.5,297.2512207,57.2488048403831,18.884338913104
BWA,2005,1.2,3.082,58.4535554684584,47.82,24.2,281.38796997,58.0524375220249,18.1907014430436
BWA,2006,3.86,3.114,59.6421228144112,49.243,23.9,258.01873779,58.8441205990319,17.506382742921
BWA,2007,1.02,3.127,60.7822308289942,50.523,23.6,305.22042847,59.9949103231663,16.4813999216606
BWA,2008,1.9,3.131,61.8321593704079,51.717,23.4,324.54284668,61.1111581446206,15.4914391528129
BWA,2009,2.06,3.133,62.7501882968523,52.547,23.2,336.53146362,62.1889472021203,14.5394944141237
BWA,2010,1.65,3.135,63.4945974665277,49.171,23.0,389.55178833,63.2298770256248,13.6233860404655
BWA,2011,0.5,3.103,64.0187810722889,49.638,22.8,427.70709229,64.2325786938522,12.7437030033031
BWA,2012,0.22,3.07,64.3993247826904,50.21,22.7,418.82244873,65.037275052661,12.0451763880712
BWA,2013,0.51,3.045,64.7579735458393,50.399,22.4,433.29150391,65.7908304969597,11.3913544446412
