iso3,year,gdp_pc_constant_2015_usd
COD,2019,482.524295129472
COD,2020,470.852950000929
COD,2021,485.160805929784
COD,2022,513.512704372167
COD,2023,539.45912637913
COD,2024,554.117609962628
COD,2025,567.560325026362
COG,2000,2057.01922023551
COG,2001,2056.16505922617
COG,2002,2100.16876714574
COG,2003,2058.88683675038
COG,2004,2058.88402946896
COG,2005,2140.03686200251
COG,2006,2226.0233547376
COG,2007,2004.10103961966
COG,2008,2061.55829880574
COG,2009,2211.31572382028
COG,2010,2332.28508055953
COG,2011,2307.49384399715
COG,2012,2467.06102906839
COG,2013,2390.65754938662
COG,2014,2488.68118548992
COG,2015,2439.35189403696
COG,2016,2174.19310251224
COG,2017,2003.27121075187
COG,2018,1909.9560382117
COG,2019,1885.51080877731
COG,2020,1725.51040049963
COG,2021,1701.79060456872
COG,2022,1686.00234391385
COG,2023,1677.08549205924
COG,2024,1671.7266018229
COG,2025,1683.00937264433
COM,2000,1150.82871091807
COM,2001,1188.50139049127
COM,2002,1217.11534330128
COM,2003,1216.98069479509
COM,2004,1231.14779946851
COM,2005,1274.61470948066
COM,2006,1227.24669435092
COM,2007,1212.6966173611
COM,2008,1235.97280465287
COM,2009,1250.90237145763
COM,2010,1272.60716208007
COM,2011,1299.11093449408
COM,2012,1313.58187559666
COM,2013,1343.54683280656
COM,2014,1342.3295858321
COM,2015,1329.37048235986
COM,2016,1345.6261652831
COM,2017,1369.41180275963
COM,2018,1391.84570443267
COM,2019,1389.36488014859
COM,2020,1359.7070891825
COM,2021,1360.32663361462
COM,2022,1366.9513495529
COM,2023,1383.64201759575
COM,2024,1402.52614298112
COM,2025,1428.44965622497
CPV,2000,2037.31720912714
CPV,2001,2051.21733888102
CPV,2002,2127.70872296502
CPV,2003,2186.89500422765
CPV,2004,2379.79636224135
CPV,2005,2514.16779255327
CPV,2006,2683.83943856892
CPV,2007,3056.97102851154
CPV,2008,3238.44159287498
CPV,2009,3159.58698693977
CPV,2010,3194.61667734233
CPV,2011,3309.20121643898
CPV,2012,3341.7421054836
CPV,2013,3361.09387702205
CPV,2014,3383.8422809791
CPV,2015,3415.06266730931
CPV,2016,3560.1400729534
CPV,2017,3719.71306047915
CPV,2018,3853.67940035241
CPV,2019,4115.90283469406
CPV,2020,3255.93628984058
CPV,2021,3471.6553421786
CPV,2022,3997.76763250653
CPV,2023,4168.67748407593
CPV,2024,4438.38741931171
CPV,2025,4695.96134251417
DJI,2013,2140.13769442336
DJI,2014,2253.14082249768
DJI,2015,2376.12554719873
DJI,2016,2502.85181449431
DJI,2017,2596.45134698268
DJI,2018,2677.1650334451
DJI,2019,2781.94350113484
DJI,2020,2773.40661780097
DJI,2021,2854.15987035097
DJI,2022,2959.78673011268
DJI,2023,3117.8155381531
DJI,2024,3290.42482052598
DJI,2025,3458.71447416107
ERI,2000,845.132430060544
ERI,2001,893.268735439193
ERI,2002,889.009113592982
ERI,2003,830.379672282601
ERI,2004,808.591420184592
ERI,2005,809.794793468889
ERI,2006,789.402432018085
ERI,2007,789.072701743247
ERI,2008,693.398874212494
ERI,2009,702.430936480778
ERI,2010,703.877374381654
ERI,2011,751.374899794668
ETH,2000,247.505413659694
ETH,2001,260.04231608135
ETH,2002,256.066635883709
ETH,2003,243.076666020009
ETH,2004,267.923513391712
ETH,2005,290.833381425059
ETH,2006,313.013896721503
ETH,2007,338.799064654308
ETH,2008,364.642208155735
ETH,2009,385.632419711374
ETH,2010,421.898622378633
ETH,2011,455.909628648555
ETH,2012,481.639999909808
ETH,2013,518.324662208106
ETH,2014,556.362532243867
ETH,2015,597.912113218663
ETH,2016,636.835680951429
ETH,2017,678.98541915757
ETH,2018,705.96881207336
ETH,2019,744.702789740042
ETH,2020,768.705424484873
ETH,2021,790.657019602458
ETH,2022,811.177729337321
ETH,2023,842.446604881663
ETH,2024,883.458588614999
ETH,2025,945.358838108184
GAB,2000,7596.09970650519
GAB,2001,7556.76995314898
GAB,2002,7338.75620613605
GAB,2003,7301.67154442842
GAB,2004,7148.98713447497
GAB,2005,7130.22505771754
GAB,2006,6724.08148977274
GAB,2007,6908.67399162999
GAB,2008,6468.38523357609
GAB,2009,6264.83611480154
GAB,2010,6481.49612073562
GAB,2011,6699.23394606512
GAB,2012,6803.22668079211
GAB,2013,6938.25753862236
GAB,2014,6998.60545439576
GAB,2015,7047.12654634355
GAB,2016,6991.3251446736
GAB,2017,6840.05959347802
GAB,2018,6724.5961429108
GAB,2019,6817.56879468764
GAB,2020,6534.27966529444
GAB,2021,6479.0490069252
GAB,2022,6527.48207901861
GAB,2023,6541.25368618042
GAB,2024,6618.9868586134
GAB,2025,6640.95687890165
GHA,2000,1022.27520714566
GHA,2001,1035.22666053257
GHA,2002,1052.46591644399
GHA,2003,1077.69990866645
GHA,2004,1108.30475353633
GHA,2005,1143.31178934301
GHA,2006,1185.26570738595
GHA,2007,1205.31705804209
GHA,2008,1282.63416886747
GHA,2009,1311.63053760125
GHA,2010,1381.2279503506
GHA,2011,1537.81834019283
GHA,2012,1640.54072088003
GHA,2013,1718.59704769958
GHA,2014,1726.36930134647
GHA,2015,1722.77282833606
GHA,2016,1740.81101902928
GHA,2017,1841.44636153249
GHA,2018,1915.4532323781
GHA,2019,1999.55372220211
GHA,2020,1970.19411460398
GHA,2021,2030.04866500967
GHA,2022,2067.20895855521
GHA,2023,2091.81335596465
GHA,2024,2173.00329800201
GHA,2025,2260.57555903544
GIN,2000,614.137235083638
GIN,2001,628.320554864936
GIN,2002,650.554963973291
GIN,2003,644.071217908894
GIN,2004,645.182843390689
GIN,2005,651.359606871604
GIN,2006,645.472001923653
GIN,2007,673.698997420626
GIN,2008,684.775780377366
GIN,2009,660.756701330284
GIN,2010,675.736917327708
GIN,2011,696.199991395571
GIN,2012,719.505916794546
GIN,2013,729.833143236326
GIN,2014,738.272274481308
GIN,2015,747.356966759448
GIN,2016,807.236421043888
GIN,2017,867.907502577607
GIN,2018,899.907328045175
GIN,2019,926.42221954853
GIN,2020,945.570903389665
GIN,2021,973.646890096159
GIN,2022,987.502501465337
GIN,2023,1016.88094800324
GIN,2024,1045.92207475792
GIN,2025,1098.14023541721
GMB,2000,659.911237641141
GMB,2001,679.539755947951
GMB,2002,640.03893213613
GMB,2003,665.834222326194
GMB,2004,693.563314497133
GMB,2005,658.676285443081
GMB,2006,636.596026908866
GMB,2007,637.20930597537
GMB,2008,657.675679192228
GMB,2009,681.433469086571
GMB,2010,701.014524591061
GMB,2011,625.464360270983
GMB,2012,639.139881889048
GMB,2013,638.522368532214
GMB,2014,611.879472952196
GMB,2015,619.536364296461
GMB,2016,615.193365494386
GMB,2017,628.777299272925
GMB,2018,658.127833258563
GMB,2019,682.797642940426
GMB,2020,670.758642891251
GMB,2021,689.49323955737
GMB,2022,710.686979216316
GMB,2023,735.612384062616
GMB,2024,758.965888826955
GMB,2025,786.0058158504
GNB,2000,571.094015178625
GNB,2001,585.837980688333
GNB,2002,594.040535151552
GNB,2003,579.092506821836
GNB,2004,572.526464627294
GNB,2005,595.94255560187
GNB,2006,597.257151722046
GNB,2007,597.482020935948
GNB,2008,608.958620496925
GNB,2009,608.202131879882
GNB,2010,625.904027290582
GNB,2011,658.953470528116
GNB,2012,630.66862302825
GNB,2013,634.095456089352
GNB,2014,623.610159103365
GNB,2015,645.066837207039
GNB,2016,663.242608032005
GNB,2017,677.466131311367
GNB,2018,686.456819839526
GNB,2019,706.298562874985
GNB,2020,710.275830755611
GNB,2021,729.396882757942
GNB,2022,752.149255217249
GNB,2023,769.504652461795
GNB,2024,785.91021956464
GNB,2025,813.829913686556
GNQ,2000,3839.08642737128
GNQ,2001,5882.85050306586
GNQ,2002,6604.0054631081
GNQ,2003,7082.65489186921
GNQ,2004,9208.60566707162
GNQ,2005,10212.4545051498
GNQ,2006,10521.9996774827
GNQ,2007,11594.9172068456
GNQ,2008,13048.0703050168
GNQ,2009,12627.862381545
GNQ,2010,10984.3243932426
GNQ,2011,11203.9073679091
GNQ,2012,11650.7196270884
GNQ,2013,10731.6455729191
GNQ,2014,10363.4872473549
GNQ,2015,9068.91003238645
GNQ,2016,7971.83401904573
GNQ,2017,7259.10936454803
GNQ,2018,6578.90039765711
GNQ,2019,6018.12066321865
GNQ,2020,5575.26241511492
GNQ,2021,5487.92479201992
GNQ,2022,5524.24312418579
GNQ,2023,4992.26076814571
GNQ,2024,4892.95310498567
GNQ,2025,4497.75112328053
KEN,2000,1195.41296851656
KEN,2001,1202.29348759987
KEN,2002,1171.4262517349
KEN,2003,1169.14433674051
KEN,2004,1191.25443604556
KEN,2005,1223.44738472019
KEN,2006,1263.54164666211
KEN,2007,1309.91092948216
KEN,2008,1273.77226103073
KEN,2009,1276.73503486074
KEN,2010,1340.16467408856
KEN,2011,1370.58000874482
KEN,2012,1396.30178709756
KEN,2013,1413.94142522583
KEN,2014,1450.59338202277
KEN,2015,1489.11959777284
KEN,2016,1517.97796057742
KEN,2017,1542.33773973372
KEN,2018,1596.69045914945
KEN,2019,1645.70961777862
KEN,2020,1609.33414078281
KEN,2021,1698.89578271444
KEN,2022,1747.53198804428
KEN,2023,1811.21651838425
KEN,2024,1858.87650030024
KEN,2025,1907.81875397233
LBR,2000,754.850917360951
LBR,2001,754.422355762017
LBR,2002,762.716393927064
LBR,2003,528.567395543421
LBR,2004,535.995882066218
LBR,2005,539.665378841936
LBR,2006,551.377446611852
LBR,2007,574.609394348543
LBR,2008,591.185378141907
LBR,2009,603.256211077605
LBR,2010,621.783295071575
LBR,2011,646.908727016597
LBR,2012,674.360011422232
LBR,2013,717.007280358975
LBR,2014,707.157694930142
LBR,2015,692.590082351257
LBR,2016,668.031513175601
LBR,2017,671.260899835355
LBR,2018,665.875439637137
LBR,2019,636.699384824869
LBR,2020,605.025475431411
LBR,2021,621.927983063426
LBR,2022,638.005183858289
LBR,2023,653.329188343162
LBR,2024,665.101337624192
LBR,2025,684.038392553354
LSO,2000,725.263668707773
LSO,2001,752.243212493971
LSO,2002,760.033443180306
LSO,2003,798.540500554454
LSO,2004,817.793597897186
LSO,2005,853.960500629797
LSO,2006,893.750686627156
LSO,2007,927.26863327342
LSO,2008,971.881366821351
LSO,2009,952.747929746529
LSO,2010,995.233432451681
LSO,2011,1031.99721564343
LSO,2012,1086.39034816283
LSO,2013,1093.95323489272
LSO,2014,1100.04993684215
LSO,2015,1121.19851342518
LSO,2016,1147.58748801671
LSO,2017,1097.82166812752
LSO,2018,1068.44462913373
LSO,2019,1040.99351014117
LSO,2020,944.834128375429
LSO,2021,955.221236301503
LSO,2022,967.51928598325
LSO,2023,973.116561960912
LSO,2024,1012.59379523386
LSO,2025,1021.35104816239
MDG,2000,465.529509827021
MDG,2001,478.40561494987
MDG,2002,406.70122213637
MDG,2003,433.601040301214
MDG,2004,443.278654985967
MDG,2005,450.955230911228
MDG,2006,461.540337897729
MDG,2007,473.785462328449
MDG,2008,490.963935389518
MDG,2009,457.789754866068
MDG,2010,447.417143030687
MDG,2011,441.755158414121
MDG,2012,442.641500123543
MDG,2013,440.674658903628
MDG,2014,443.343869908205
MDG,2015,445.320069480568
MDG,2016,451.15659433146
MDG,2017,456.851859574031
MDG,2018,459.330367799543
MDG,2019,467.27741349648
MDG,2020,422.924255422319
MDG,2021,431.599103077746
MDG,2022,438.438112102315
MDG,2023,445.874102052267
MDG,2024,453.957809653992
MDG,2025,456.509679348005
MLI,2000,682.497420451512
MLI,2001,766.960343250964
MLI,2002,766.073669039402
MLI,2003,814.808466518784
MLI,2004,800.501816705242
MLI,2005,794.373328212082
MLI,2006,797.10053288464
MLI,2007,784.893915013531
MLI,2008,787.156518982091
MLI,2009,803.486738930068
MLI,2010,821.181286586904
MLI,2011,818.399030997125
MLI,2012,786.323471337187
MLI,2013,788.819448208696
MLI,2014,813.97566128646
MLI,2015,838.11986940103
MLI,2016,860.75307554569
MLI,2017,878.561348378099
MLI,2018,892.978322787306
MLI,2019,909.751069706998
MLI,2020,872.389426815267
MLI,2021,872.332509422409
MLI,2022,877.817842434642
MLI,2023,892.689219532429
MLI,2024,910.300376300627
MLI,2025,933.797527588101
MOZ,2000,287.390630344484
MOZ,2001,317.185703581034
MOZ,2002,340.13537022259
MOZ,2003,356.521157404125
MOZ,2004,377.064958084878
MOZ,2005,391.699758163976
MOZ,2006,420.526462764726
MOZ,2007,442.049574057751
MOZ,2008,460.94729485679
MOZ,2009,475.788178051193
MOZ,2010,494.162859074785
MOZ,2011,514.869957191994
MOZ,2012,540.2945177803
MOZ,2013,559.393953685688
MOZ,2014,585.266716133984
MOZ,2015,610.563774706589
MOZ,2016,620.779714954555
MOZ,2017,618.397694360334
MOZ,2018,621.153734194787
MOZ,2019,617.13932000195
MOZ,2020,591.804059985932
MOZ,2021,588.215854695416
MOZ,2022,596.086630918965
MOZ,2023,610.591041611538
MOZ,2024,605.763481416969
MOZ,2025,585.682593109736
MRT,2000,1307.91078676112
MRT,2001,1265.81694335882
MRT,2002,1255.23785465583
MRT,2003,1311.83928290699
MRT,2004,1342.01926086998
MRT,2005,1422.08355395812
MRT,2006,1641.14052210995
MRT,2007,1567.52103874761
MRT,2008,1518.05671993749
MRT,2009,1472.73229282851
MRT,2010,1463.84763242531
MRT,2011,1476.23923867862
MRT,2012,1492.69966692583
MRT,2013,1506.66419033006
MRT,2014,1524.45340969502
MRT,2015,1558.84205473416
MRT,2016,1531.87725661699
MRT,2017,1580.01453100123
MRT,2018,1606.91539159026
MRT,2019,1609.15396170643
MRT,2020,1557.19511875153
MRT,2021,1524.11753502309
MRT,2022,1580.70391528747
MRT,2023,1638.99221583023
MRT,2024,1692.84166088843
MRT,2025,1712.77993129076
MUS,2000,5724.49584395791
MUS,2001,5869.56961565396
MUS,2002,5923.09482066607
MUS,2003,6228.82545560651
MUS,2004,6457.90977761094
MUS,2005,6533.89994300683
MUS,2006,6819.92708580325
MUS,2007,7180.23173197486
MUS,2008,7545.15683789094
MUS,2009,7778.25811331163
MUS,2010,8100.95282599507
MUS,2011,8423.28220250903
MUS,2012,8694.84560747968
MUS,2013,8968.51243536773
MUS,2014,9297.64820128968
MUS,2015,9630.5437837507
MUS,2016,9997.89198315532
MUS,2017,10383.8832682578
MUS,2018,10805.4615213739
MUS,2019,11111.3423669526
MUS,2020,9533.5982796049
MUS,2021,9849.34891121846
MUS,2022,10703.2364271462
MUS,2023,11330.7335655767
MUS,2024,11918.8045212095
MUS,2025,12314.5801796066
MWI,2000,418.592985038462
MWI,2001,388.260039763569
MWI,2002,385.308980237095
MWI,2003,397.224846758815
MWI,2004,408.064916052765
MWI,2005,410.267979592536
MWI,2006,417.877689776503
MWI,2007,445.254305419586
MWI,2008,465.55147298007
MWI,2009,489.631418790158
MWI,2010,508.088650552846
MWI,2011,517.833736624232
MWI,2012,512.74031797451
MWI,2013,525.357645516557
MWI,2014,539.562601918057
MWI,2015,539.605363240686
